(((1*6)-(6/4))/((5*3)*3))	(/(-(*16)(/64))(*(*53)3))	(((16*)(64/)-)((53*)3*)/)
(((2-7)+(9*6))-((0*0)/(3-1)))	(-(+(-27)(*96))(/(*00)(-31)))	(((27-)(96*)+)((00*)(31-)/)-)
(((8-9)+(3*9))+((5*7)/(3-9)))	(+(+(-89)(*39))(/(*57)(-39)))	(((89-)(39*)+)((57*)(39-)/)+)
(((7*7)+(3+9))/((4+5)/(1*2)))	(/(+(*77)(+39))(/(+45)(*12)))	(((77*)(39+)+)((45+)(12*)/)/)
(((3-6)*(5+2))-((8*5)-(1*9)))	(-(*(-36)(+52))(-(*85)(*19)))	(((36-)(52+)*)((85*)(19*)-)-)
((4*(6-5))*((8+7)*(9/9)))	(*(*4(-65))(*(+87)(/99)))	((4(65-)*)((87+)(99/)*)*)
(((7+6)-(8-7))-((9/8)/(9*5)))	(-(-(+76)(-87))(/(/98)(*95)))	(((76+)(87-)-)((98/)(95*)/)-)
(((1*1)-(8*7))-((5/1)-4))	(-(-(*11)(*87))(-(/51)4))	(((11*)(87*)-)((51/)4-)-)
(((4/7)+(8+0))/((8/8)*(3-3)))	(/(+(/47)(+80))(*(/88)(-33)))	(((47/)(80+)+)((88/)(33-)*)/)
(1/(2*5))	(/1(*25))	(1(25*)/)
(((9+0)-(5-5))/((0-9)-5))	(/(-(+90)(-55))(-(-09)5))	(((90+)(55-)-)((09-)5-)/)
(((1/5)*(7*9))*((7*1)-(5*7)))	(*(*(/15)(*79))(-(*71)(*57)))	(((15/)(79*)*)((71*)(57*)-)*)
(((6*1)*(8-9))-((6-8)/(2-5)))	(-(*(*61)(-89))(/(-68)(-25)))	(((61*)(89-)*)((68-)(25-)/)-)
((8/(0*1))-((0+0)-(5-3)))	(-(/8(*01))(-(+00)(-53)))	((8(01*)/)((00+)(53-)-)-)
(((0-2)*(5*6))/(5+(9/3)))	(/(*(-02)(*56))(+5(/93)))	(((02-)(56*)*)(5(93/)+)/)
(((0+7)+(5*8))*(4*(0*3)))	(*(+(+07)(*58))(*4(*03)))	(((07+)(58*)+)(4(03*)*)*)
((9+(5-6))-(1*6))	(-(+9(-56))(*16))	((9(56-)+)(16*)-)
((4+1)/((7+8)+3))	(/(+41)(+(+78)3))	((41+)((78+)3+)/)
(((1/6)/(6*8))*((0+5)*(3+1)))	(*(/(/16)(*68))(*(+05)(+31)))	(((16/)(68*)/)((05+)(31+)*)*)
(((6-5)+0)/(0/(2-2)))	(/(+(-65)0)(/0(-22)))	(((65-)0+)(0(22-)/)/)
(((5*3)-(4*9))+((6/6)-(6+5)))	(+(-(*53)(*49))(-(/66)(+65)))	(((53*)(49*)-)((66/)(65+)-)+)
(((4/1)/4)-((4-1)-2))	(-(/(/41)4)(-(-41)2))	(((41/)4/)((41-)2-)-)
(((7-4)-(9+1))*(8/(1-3)))	(*(-(-74)(+91))(/8(-13)))	(((74-)(91+)-)(8(13-)/)*)
((2/(6+2))*((7*8)+(7+6)))	(*(/2(+62))(+(*78)(+76)))	((2(62+)/)((78*)(76+)+)*)
(((7/8)-(9-2))+((9+9)*(8-3)))	(+(-(/78)(-92))(*(+99)(-83)))	(((78/)(92-)-)((99+)(83-)*)+)
(((0/3)*(8/1))+(0*(9+1)))	(+(*(/03)(/81))(*0(+91)))	(((03/)(81/)*)(0(91+)*)+)
(((5/9)/(6*6))-(3/(8/5)))	(-(/(/59)(*66))(/3(/85)))	(((59/)(66*)/)(3(85/)/)-)
(((1-4)/(2*9))-((4/9)*(9+1)))	(-(/(-14)(*29))(*(/49)(+91)))	(((14-)(29*)/)((49/)(91+)*)-)
(((2-4)+(9+5))-((6/3)*(4*0)))	(-(+(-24)(+95))(*(/63)(*40)))	(((24-)(95+)+)((63/)(40*)*)-)
(((3-8)/7)-((3*3)*5))	(-(/(-38)7)(*(*33)5))	(((38-)7/)((33*)5*)-)
((5-7)/((4-5)+(5+0)))	(/(-57)(+(-45)(+50)))	((57-)((45-)(50+)+)/)
(9-((9-0)+(2*5)))	(-9(+(-90)(*25)))	(9((90-)(25*)+)-)
(((2+9)+(0-1))/((3/9)+(9+4)))	(/(+(+29)(-01))(+(/39)(+94)))	(((29+)(01-)+)((39/)(94+)+)/)
(((9+6)-(6-1))-((1+4)/(2*5)))	(-(-(+96)(-61))(/(+14)(*25)))	(((96+)(61-)-)((14+)(25*)/)-)
(((8*2)*(9-6))*((3/6)+2))	(*(*(*82)(-96))(+(/36)2))	(((82*)(96-)*)((36/)2+)*)
(((7/2)-(8-2))+((3+2)-(0/6)))	(+(-(/72)(-82))(-(+32)(/06)))	(((72/)(82-)-)((32+)(06/)-)+)
(((0+4)/(6+5))+((5-6)+(7-7)))	(+(/(+04)(+65))(+(-56)(-77)))	(((04+)(65+)/)((56-)(77-)+)+)
(((5+0)+(8-2))*(6+(6+9)))	(*(+(+50)(-82))(+6(+69)))	(((50+)(82-)+)(6(69+)+)*)
((2+(2-1))+((0*4)/(0-0)))	(+(+2(-21))(/(*04)(-00)))	((2(21-)+)((04*)(00-)/)+)
((3+(4-4))+(2+2))	(+(+3(-44))(+22))	((3(44-)+)(22+)+)
(((9-7)+(9*1))/((7-6)-(4+1)))	(/(+(-97)(*91))(-(-76)(+41)))	(((97-)(91*)+)((76-)(41+)-)/)
((2+3)+((3-0)+(7/1)))	(+(+23)(+(-30)(/71)))	((23+)((30-)(71/)+)+)
(((3/6)*8)*((3/8)/(9/6)))	(*(*(/36)8)(/(/38)(/96)))	(((36/)8*)((38/)(96/)/)*)
(((4-2)*6)-(5/3))	(-(*(-42)6)(/53))	(((42-)6*)(53/)-)
(((0/9)+0)+((2+5)+(3*8)))	(+(+(/09)0)(+(+25)(*38)))	(((09/)0+)((25+)(38*)+)+)
(((7*6)/(8*4))*((0-4)/(5+1)))	(*(/(*76)(*84))(/(-04)(+51)))	(((76*)(84*)/)((04-)(51+)/)*)
(((0-3)-(3/2))-((2-2)+(0+2)))	(-(-(-03)(/32))(+(-22)(+02)))	(((03-)(32/)-)((22-)(02+)+)-)
(((6/8)*(7+4))+((5+8)/7))	(+(*(/68)(+74))(/(+58)7))	(((68/)(74+)*)((58+)7/)+)
((8*(2+6))+(5/5))	(+(*8(+26))(/55))	((8(26+)*)(55/)+)
((2/(3-6))*((3+3)+(0-7)))	(*(/2(-36))(+(+33)(-07)))	((2(36-)/)((33+)(07-)+)*)
(((9*7)-(8+5))-((9-2)+(2/2)))	(-(-(*97)(+85))(+(-92)(/22)))	(((97*)(85+)-)((92-)(22/)+)-)
(((5*7)*(1-6))-((4/5)+(7/1)))	(-(*(*57)(-16))(+(/45)(/71)))	(((57*)(16-)*)((45/)(71/)+)-)
(((8/1)-2)/((5-8)/(6*6)))	(/(-(/81)2)(/(-58)(*66)))	(((81/)2-)((58-)(66*)/)/)
(((8/0)+(2/0))*((4*0)-(3*0)))	(*(+(/80)(/20))(-(*40)(*30)))	(((80/)(20/)+)((40*)(30*)-)*)
(((1/9)+(0+7))+((4/0)/2))	(+(+(/19)(+07))(/(/40)2))	(((19/)(07+)+)((40/)2/)+)
((7+(4+2))-(9+3))	(-(+7(+42))(+93))	((7(42+)+)(93+)-)
(((6+7)/(3-2))-((2+6)/(2+2)))	(-(/(+67)(-32))(/(+26)(+22)))	(((67+)(32-)/)((26+)(22+)/)-)
(((0/3)/(7+6))*(7/(8/5)))	(*(/(/03)(+76))(/7(/85)))	(((03/)(76+)/)(7(85/)/)*)
(((8*7)*1)*((3+5)+(2*4)))	(*(*(*87)1)(+(+35)(*24)))	(((87*)1*)((35+)(24*)+)*)
(((2/1)/(2/2))*((6/4)+(2-8)))	(*(/(/21)(/22))(+(/64)(-28)))	(((21/)(22/)/)((64/)(28-)+)*)
((1*(3-4))-((1+8)/(3-0)))	(-(*1(-34))(/(+18)(-30)))	((1(34-)*)((18+)(30-)/)-)
(((5*6)-(5*7))-((2+5)/(5/1)))	(-(-(*56)(*57))(/(+25)(/51)))	(((56*)(57*)-)((25+)(51/)/)-)
(((7-7)+(1*8))+((1-3)+(5+6)))	(+(+(-77)(*18))(+(-13)(+56)))	(((77-)(18*)+)((13-)(56+)+)+)
(((9*0)/(5-0))/((4-3)/(2-2)))	(/(/(*90)(-50))(/(-43)(-22)))	(((90*)(50-)/)((43-)(22-)/)/)
(((4/1)+(7+9))/((4/6)/(4/6)))	(/(+(/41)(+79))(/(/46)(/46)))	(((41/)(79+)+)((46/)(46/)/)/)
(((9*9)+8)*((0*5)*(0*1)))	(*(+(*99)8)(*(*05)(*01)))	(((99*)8+)((05*)(01*)*)*)
(((6+0)/(0*3))+((3/3)/9))	(+(/(+60)(*03))(/(/33)9))	(((60+)(03*)/)((33/)9/)+)
(3*((1*4)+(0*2)))	(*3(+(*14)(*02)))	(3((14*)(02*)+)*)
(((4*1)+(6-7))/((5*6)/(9*0)))	(/(+(*41)(-67))(/(*56)(*90)))	(((41*)(67-)+)((56*)(90*)/)/)
(((9*2)*(6*9))/((9-5)+(6/0)))	(/(*(*92)(*69))(+(-95)(/60)))	(((92*)(69*)*)((95-)(60/)+)/)
(((9+2)/8)*(5-(8+8)))	(*(/(+92)8)(-5(+88)))	(((92+)8/)(5(88+)-)*)
(((8*2)*1)-((6*5)*8))	(-(*(*82)1)(*(*65)8))	(((82*)1*)((65*)8*)-)
(((2/1)/(9*3))+((4*7)-(5/6)))	(+(/(/21)(*93))(-(*47)(/56)))	(((21/)(93*)/)((47*)(56/)-)+)
((5*(1*3))+((6*5)*(2+5)))	(+(*5(*13))(*(*65)(+25)))	((5(13*)*)((65*)(25+)*)+)
(((4-1)+3)-((1-5)/(8/3)))	(-(+(-41)3)(/(-15)(/83)))	(((41-)3+)((15-)(83/)/)-)
(((2*1)/(9-4))-(8+(5/4)))	(-(/(*21)(-94))(+8(/54)))	(((21*)(94-)/)(8(54/)+)-)
(((4-6)*(7*6))+((2*8)*(3/9)))	(+(*(-46)(*76))(*(*28)(/39)))	(((46-)(76*)*)((28*)(39/)*)+)
((2+(8+7))*((0-0)*9))	(*(+2(+87))(*(-00)9))	((2(87+)+)((00-)9*)*)
(((2*1)/2)*((9/4)-(2/6)))	(*(/(*21)2)(-(/94)(/26)))	(((21*)2/)((94/)(26/)-)*)
((8*(2-1))/((4/7)*(9/6)))	(/(*8(-21))(*(/47)(/96)))	((8(21-)*)((47/)(96/)*)/)
(((4*7)/(1/7))/((9/2)+8))	(/(/(*47)(/17))(+(/92)8))	(((47*)(17/)/)((92/)8+)/)
(((1+1)+(8+2))*((3/9)-(0/9)))	(*(+(+11)(+82))(-(/39)(/09)))	(((11+)(82+)+)((39/)(09/)-)*)
(((0/5)+(9-3))+((1/0)+(7-5)))	(+(+(/05)(-93))(+(/10)(-75)))	(((05/)(93-)+)((10/)(75-)+)+)
(((4-5)-8)+((5/9)+(4*7)))	(+(-(-45)8)(+(/59)(*47)))	(((45-)8-)((59/)(47*)+)+)
(((8-6)-(8/7))*((8-8)+(4-4)))	(*(-(-86)(/87))(+(-88)(-44)))	(((86-)(87/)-)((88-)(44-)+)*)
((8*5)+(7+(6*3)))	(+(*85)(+7(*63)))	((85*)(7(63*)+)+)
(((3+8)*(4-1))*(0+7))	(*(*(+38)(-41))(+07))	(((38+)(41-)*)(07+)*)
((9*(4-7))*(4+(1+0)))	(*(*9(-47))(+4(+10)))	((9(47-)*)(4(10+)+)*)
(((1+3)*1)-((7/2)+(1*6)))	(-(*(+13)1)(+(/72)(*16)))	(((13+)1*)((72/)(16*)+)-)
(((4*3)/(5*2))-((6+3)-1))	(-(/(*43)(*52))(-(+63)1))	(((43*)(52*)/)((63+)1-)-)
(((5+7)-(0+1))/((8-3)-(2-2)))	(/(-(+57)(+01))(-(-83)(-22)))	(((57+)(01+)-)((83-)(22-)-)/)
(((9-4)/(6-6))/((5+9)+(1-4)))	(/(/(-94)(-66))(+(+59)(-14)))	(((94-)(66-)/)((59+)(14-)+)/)
(((8*5)-(0+9))+((2*0)/(3+7)))	(+(-(*85)(+09))(/(*20)(+37)))	(((85*)(09+)-)((20*)(37+)/)+)
(((2+2)-(4-9))+((4-2)*(0/1)))	(+(-(+22)(-49))(*(-42)(/01)))	(((22+)(49-)-)((42-)(01/)*)+)
(((4*9)+(5/3))*((3*6)*(1/3)))	(*(+(*49)(/53))(*(*36)(/13)))	(((49*)(53/)+)((36*)(13/)*)*)
(((0*9)+(1-3))-((8-5)*4))	(-(+(*09)(-13))(*(-85)4))	(((09*)(13-)+)((85-)4*)-)
(((5+1)-3)-((0-0)-(4*3)))	(-(-(+51)3)(-(-00)(*43)))	(((51+)3-)((00-)(43*)-)-)
((8*(9*0))*((1/1)-(8-9)))	(*(*8(*90))(-(/11)(-89)))	((8(90*)*)((11/)(89-)-)*)
(((1/8)-(3+8))*((4*3)-(6+3)))	(*(-(/18)(+38))(-(*43)(+63)))	(((18/)(38+)-)((43*)(63+)-)*)
(((9*4)/(1-8))+((7*0)-(0*7)))	(+(/(*94)(-18))(-(*70)(*07)))	(((94*)(18-)/)((70*)(07*)-)+)
((0*(0*4))-((5-7)+2))	(-(*0(*04))(+(-57)2))	((0(04*)*)((57-)2+)-)
(((4-9)*(7+3))+((7/5)*(2/6)))	(+(*(-49)(+73))(*(/75)(/26)))	(((49-)(73+)*)((75/)(26/)*)+)
(((3/3)-2)-(8+(0-6)))	(-(-(/33)2)(+8(-06)))	(((33/)2-)(8(06-)+)-)
(((1/6)/(0*7))/((3+7)-(7-5)))	(/(/(/16)(*07))(-(+37)(-75)))	(((16/)(07*)/)((37+)(75-)-)/)
(((2+5)/8)*(0-(8-6)))	(*(/(+25)8)(-0(-86)))	(((25+)8/)(0(86-)-)*)
(((6+3)*(1+7))+((6-4)*9))	(+(*(+63)(+17))(*(-64)9))	(((63+)(17+)*)((64-)9*)+)
((0-(0+3))*((6/7)+9))	(*(-0(+03))(+(/67)9))	((0(03+)-)((67/)9+)*)
(((8/7)*6)/((0+6)-(8*5)))	(/(*(/87)6)(-(+06)(*85)))	(((87/)6*)((06+)(85*)-)/)
((5/(0+9))-((8*0)+3))	(-(/5(+09))(+(*80)3))	((5(09+)/)((80*)3+)-)
(((4-3)-(0-0))/((8+7)*(6+7)))	(/(-(-43)(-00))(*(+87)(+67)))	(((43-)(00-)-)((87+)(67+)*)/)
(((7+6)+(6*8))+((6+0)-(7/2)))	(+(+(+76)(*68))(-(+60)(/72)))	(((76+)(68*)+)((60+)(72/)-)+)
((7-(0/6))+(2/(8+8)))	(+(-7(/06))(/2(+88)))	((7(06/)-)(2(88+)/)+)
(((6-6)-8)-((5/1)-(2*0)))	(-(-(-66)8)(-(/51)(*20)))	(((66-)8-)((51/)(20*)-)-)
(((0/5)/(8-8))/(7/(8+7)))	(/(/(/05)(-88))(/7(+87)))	(((05/)(88-)/)(7(87+)/)/)
(((5-5)-(7/6))+((6*0)-(4+7)))	(+(-(-55)(/76))(-(*60)(+47)))	(((55-)(76/)-)((60*)(47+)-)+)
(((0/7)*(7/1))+(2+(1*0)))	(+(*(/07)(/71))(+2(*10)))	(((07/)(71/)*)(2(10*)+)+)
(((8*2)+9)+((0-6)+(7-8)))	(+(+(*82)9)(+(-06)(-78)))	(((82*)9+)((06-)(78-)+)+)
(((9/7)-(5+7))-((6+0)/(5+6)))	(-(-(/97)(+57))(/(+60)(+56)))	(((97/)(57+)-)((60+)(56+)/)-)
((9/(0-2))-(5+(4-7)))	(-(/9(-02))(+5(-47)))	((9(02-)/)(5(47-)+)-)
((8/8)*(0/(4-5)))	(*(/88)(/0(-45)))	((88/)(0(45-)/)*)
(((6/1)-(4*9))+((7-5)*(0/7)))	(+(-(/61)(*49))(*(-75)(/07)))	(((61/)(49*)-)((75-)(07/)*)+)
((0-(9+9))-((0/4)/(6+1)))	(-(-0(+99))(/(/04)(+61)))	((0(99+)-)((04/)(61+)/)-)
(((2+5)/7)+(6-(1+0)))	(+(/(+25)7)(-6(+10)))	(((25+)7/)(6(10+)-)+)
((6+(3+4))-((1*2)+(6-3)))	(-(+6(+34))(+(*12)(-63)))	((6(34+)+)((12*)(63-)+)-)
(((3/4)-(3/2))+(9-1))	(+(-(/34)(/32))(-91))	(((34/)(32/)-)(91-)+)
(((7*3)*4)+(0*(6-8)))	(+(*(*73)4)(*0(-68)))	(((73*)4*)(0(68-)*)+)
((0+(1/3))/(6*(8+7)))	(/(+0(/13))(*6(+87)))	((0(13/)+)(6(87+)*)/)
(((3*3)+(9-8))*(0/(4+7)))	(*(+(*33)(-98))(/0(+47)))	(((33*)(98-)+)(0(47+)/)*)
(((3+4)-8)/((8+9)/6))	(/(-(+34)8)(/(+89)6))	(((34+)8-)((89+)6/)/)
(((6*4)/(1-5))-((7*4)+5))	(-(/(*64)(-15))(+(*74)5))	(((64*)(15-)/)((74*)5+)-)
(((7*0)-1)+((1*0)*3))	(+(-(*70)1)(*(*10)3))	(((70*)1-)((10*)3*)+)
(((6-6)/9)+((2/8)+6))	(+(/(-66)9)(+(/28)6))	(((66-)9/)((28/)6+)+)
(((8+9)*(7+2))*(5-(7+3)))	(*(*(+89)(+72))(-5(+73)))	(((89+)(72+)*)(5(73+)-)*)
(((6/2)*(6+5))+((4*3)-(2-9)))	(+(*(/62)(+65))(-(*43)(-29)))	(((62/)(65+)*)((43*)(29-)-)+)
(((5*6)*(6/1))*((2+8)-(5/3)))	(*(*(*56)(/61))(-(+28)(/53)))	(((56*)(61/)*)((28+)(53/)-)*)
(((0*9)+(9*6))/((9*0)*(6+9)))	(/(+(*09)(*96))(*(*90)(+69)))	(((09*)(96*)+)((90*)(69+)*)/)
(((0/6)*(3/6))/((4+1)*(8*4)))	(/(*(/06)(/36))(*(+41)(*84)))	(((06/)(36/)*)((41+)(84*)*)/)
(((5/7)-(0+4))/(1+(4*4)))	(/(-(/57)(+04))(+1(*44)))	(((57/)(04+)-)(1(44*)+)/)
(((0*8)*(4*4))-((2+1)+(6+2)))	(-(*(*08)(*44))(+(+21)(+62)))	(((08*)(44*)*)((21+)(62+)+)-)
(((7-3)*(8*1))/((7/9)-(9-2)))	(/(*(-73)(*81))(-(/79)(-92)))	(((73-)(81*)*)((79/)(92-)-)/)
((8+(4/5))-(6+(3/8)))	(-(+8(/45))(+6(/38)))	((8(45/)+)(6(38/)+)-)
(((9+1)-(5/9))*((7-6)-3))	(*(-(+91)(/59))(-(-76)3))	(((91+)(59/)-)((76-)3-)*)
(((8/4)-(5*5))-((7/1)+(2/2)))	(-(-(/84)(*55))(+(/71)(/22)))	(((84/)(55*)-)((71/)(22/)+)-)
(((8+5)*(8-8))-(8*1))	(-(*(+85)(-88))(*81))	(((85+)(88-)*)(81*)-)
(((3/2)-(6/3))*((4+7)-(8-8)))	(*(-(/32)(/63))(-(+47)(-88)))	(((32/)(63/)-)((47+)(88-)-)*)
(((5+7)*(7-3))/((0+8)/1))	(/(*(+57)(-73))(/(+08)1))	(((57+)(73-)*)((08+)1/)/)
(((5+6)*(1-8))/(6+(5/1)))	(/(*(+56)(-18))(+6(/51)))	(((56+)(18-)*)(6(51/)+)/)
((9-(2-4))*((3/0)*(1*9)))	(*(-9(-24))(*(/30)(*19)))	((9(24-)-)((30/)(19*)*)*)
(((2*8)+2)*((6+7)/(8*7)))	(*(+(*28)2)(/(+67)(*87)))	(((28*)2+)((67+)(87*)/)*)
(((5-5)*(6*6))/((4*7)-(0*6)))	(/(*(-55)(*66))(-(*47)(*06)))	(((55-)(66*)*)((47*)(06*)-)/)
(((0-5)-(9/7))/((2*7)-(2-8)))	(/(-(-05)(/97))(-(*27)(-28)))	(((05-)(97/)-)((27*)(28-)-)/)
(((5+9)/(0+9))/((1+8)-(0-4)))	(/(/(+59)(+09))(-(+18)(-04)))	(((59+)(09+)/)((18+)(04-)-)/)
(((4*7)-(9+6))+((2/0)-(2-8)))	(+(-(*47)(+96))(-(/20)(-28)))	(((47*)(96+)-)((20/)(28-)-)+)
((7-0)*((8*4)*(2-9)))	(*(-70)(*(*84)(-29)))	((70-)((84*)(29-)*)*)
(((3+7)*4)+(4/1))	(+(*(+37)4)(/41))	(((37+)4*)(41/)+)
(((1-3)/(2/6))-((2-7)+(7*1)))	(-(/(-13)(/26))(+(-27)(*71)))	(((13-)(26/)/)((27-)(71*)+)-)
((5*7)*((8*9)+0))	(*(*57)(+(*89)0))	((57*)((89*)0+)*)
(((9+2)+(2/0))+((7+2)-(1*0)))	(+(+(+92)(/20))(-(+72)(*10)))	(((92+)(20/)+)((72+)(10*)-)+)
(((6-3)-(0/9))+((5/8)/(7*2)))	(+(-(-63)(/09))(/(/58)(*72)))	(((63-)(09/)-)((58/)(72*)/)+)
(((3*2)/(6+7))/(6+2))	(/(/(*32)(+67))(+62))	(((32*)(67+)/)(62+)/)
(((9-7)*(7-8))+((3/1)/(9*3)))	(+(*(-97)(-78))(/(/31)(*93)))	(((97-)(78-)*)((31/)(93*)/)+)
(((3/4)-(6+7))-((9+5)+(9*7)))	(-(-(/34)(+67))(+(+95)(*97)))	(((34/)(67+)-)((95+)(97*)+)-)
(((7/8)-(1-7))/((2/1)+(4/2)))	(/(-(/78)(-17))(+(/21)(/42)))	(((78/)(17-)-)((21/)(42/)+)/)
(((8+2)/2)*(0-1))	(*(/(+82)2)(-01))	(((82+)2/)(01-)*)
(((1+9)/(9-7))/(8-6))	(/(/(+19)(-97))(-86))	(((19+)(97-)/)(86-)/)
(((5/6)*(6+1))*(6/(0+4)))	(*(*(/56)(+61))(/6(+04)))	(((56/)(61+)*)(6(04+)/)*)
(((6/7)+(6*3))*((7-7)+(7/4)))	(*(+(/67)(*63))(+(-77)(/74)))	(((67/)(63*)+)((77-)(74/)+)*)
(((1-1)+(4/8))-((0*8)*(1*1)))	(-(+(-11)(/48))(*(*08)(*11)))	(((11-)(48/)+)((08*)(11*)*)-)
((9*4)-(1-(2+2)))	(-(*94)(-1(+22)))	((94*)(1(22+)-)-)
(((5-2)-2)+(1-(6/1)))	(+(-(-52)2)(-1(/61)))	(((52-)2-)(1(61/)-)+)
(((3+5)/(5/0))-((3/8)*(8-2)))	(-(/(+35)(/50))(*(/38)(-82)))	(((35+)(50/)/)((38/)(82-)*)-)
(((0-7)*(5+9))+((9-6)/(5*4)))	(+(*(-07)(+59))(/(-96)(*54)))	(((07-)(59+)*)((96-)(54*)/)+)
(((6+3)-(0+1))-((3+4)+(9/7)))	(-(-(+63)(+01))(+(+34)(/97)))	(((63+)(01+)-)((34+)(97/)+)-)
(((4*5)+(4*2))*(2-(6*1)))	(*(+(*45)(*42))(-2(*61)))	(((45*)(42*)+)(2(61*)-)*)
(((3-4)+(7+0))/((8/8)-(6/2)))	(/(+(-34)(+70))(-(/88)(/62)))	(((34-)(70+)+)((88/)(62/)-)/)
((7+(0-7))-((6+0)/(6/7)))	(-(+7(-07))(/(+60)(/67)))	((7(07-)+)((60+)(67/)/)-)
(((9-7)-(1*1))/((6/2)+(6*2)))	(/(-(-97)(*11))(+(/62)(*62)))	(((97-)(11*)-)((62/)(62*)+)/)
(((9+5)+(6+0))-(5+6))	(-(+(+95)(+60))(+56))	(((95+)(60+)+)(56+)-)
(((4*6)-(9-3))*((5/5)*(9+9)))	(*(-(*46)(-93))(*(/55)(+99)))	(((46*)(93-)-)((55/)(99+)*)*)
((6-(8/4))-((9*5)*(6+5)))	(-(-6(/84))(*(*95)(+65)))	((6(84/)-)((95*)(65+)*)-)
(((4*9)/(0/3))/((6-6)*(0-8)))	(/(/(*49)(/03))(*(-66)(-08)))	(((49*)(03/)/)((66-)(08-)*)/)
((6*(8+3))/((9+5)+(1/1)))	(/(*6(+83))(+(+95)(/11)))	((6(83+)*)((95+)(11/)+)/)
(((5+7)/(4*1))+((4+8)+(6+9)))	(+(/(+57)(*41))(+(+48)(+69)))	(((57+)(41*)/)((48+)(69+)+)+)
(((5*6)+(6+9))-((5*9)*(9-1)))	(-(+(*56)(+69))(*(*59)(-91)))	(((56*)(69+)+)((59*)(91-)*)-)
(((6*8)*(2-3))-((7+7)+(6/0)))	(-(*(*68)(-23))(+(+77)(/60)))	(((68*)(23-)*)((77+)(60/)+)-)
(((0/5)+(2-5))/(2*(1*0)))	(/(+(/05)(-25))(*2(*10)))	(((05/)(25-)+)(2(10*)*)/)
(((9+5)/(8-2))-((1/1)*1))	(-(/(+95)(-82))(*(/11)1))	(((95+)(82-)/)((11/)1*)-)
(((5/3)-8)*((0/5)*(7*2)))	(*(-(/53)8)(*(/05)(*72)))	(((53/)8-)((05/)(72*)*)*)
(((7*2)+(1+3))-((3+8)/(9-5)))	(-(+(*72)(+13))(/(+38)(-95)))	(((72*)(13+)+)((38+)(95-)/)-)
(((3/7)*(5-9))+((4-0)/(0/8)))	(+(*(/37)(-59))(/(-40)(/08)))	(((37/)(59-)*)((40-)(08/)/)+)
(((5*0)-(4/9))+(2/(4/0)))	(+(-(*50)(/49))(/2(/40)))	(((50*)(49/)-)(2(40/)/)+)
(((7*5)-(1*1))*((8-7)/(6/0)))	(*(-(*75)(*11))(/(-87)(/60)))	(((75*)(11*)-)((87-)(60/)/)*)
((7+(7+1))/(2/(0-2)))	(/(+7(+71))(/2(-02)))	((7(71+)+)(2(02-)/)/)
((1*(3-1))+((6*4)/(4-2)))	(+(*1(-31))(/(*64)(-42)))	((1(31-)*)((64*)(42-)/)+)
(((2*7)/(3/6))+((2*8)-(4+6)))	(+(/(*27)(/36))(-(*28)(+46)))	(((27*)(36/)/)((28*)(46+)-)+)
(((5*4)/(3*1))/((0/9)*(0/6)))	(/(/(*54)(*31))(*(/09)(/06)))	(((54*)(31*)/)((09/)(06/)*)/)
(((6+7)+(0+3))-((4+9)/(1*8)))	(-(+(+67)(+03))(/(+49)(*18)))	(((67+)(03+)+)((49+)(18*)/)-)
(((8+5)-(4/5))*((1-8)+(5*5)))	(*(-(+85)(/45))(+(-18)(*55)))	(((85+)(45/)-)((18-)(55*)+)*)
(((7*8)*(0/3))*((8-8)+8))	(*(*(*78)(/03))(+(-88)8))	(((78*)(03/)*)((88-)8+)*)
(((7/7)*(5-2))+(6*(4-2)))	(+(*(/77)(-52))(*6(-42)))	(((77/)(52-)*)(6(42-)*)+)
(((9*2)-8)*((2/1)*(2*1)))	(*(-(*92)8)(*(/21)(*21)))	(((92*)8-)((21/)(21*)*)*)
((9+(0/5))-((1*4)-9))	(-(+9(/05))(-(*14)9))	((9(05/)+)((14*)9-)-)
(((2/0)-(6*8))/((6-5)-(7*0)))	(/(-(/20)(*68))(-(-65)(*70)))	(((20/)(68*)-)((65-)(70*)-)/)
(((0+3)*(9*9))-((8-8)*(4+7)))	(-(*(+03)(*99))(*(-88)(+47)))	(((03+)(99*)*)((88-)(47+)*)-)
((1*(1-2))+((8-7)-2))	(+(*1(-12))(-(-87)2))	((1(12-)*)((87-)2-)+)
(((3*3)*8)-((8/6)*(8+6)))	(-(*(*33)8)(*(/86)(+86)))	(((33*)8*)((86/)(86+)*)-)
((8-(0/9))/(4+(1/5)))	(/(-8(/09))(+4(/15)))	((8(09/)-)(4(15/)+)/)
(((8-3)*(6*0))+((7-2)-(6*9)))	(+(*(-83)(*60))(-(-72)(*69)))	(((83-)(60*)*)((72-)(69*)-)+)
(((1*6)/(2+4))-((5/5)/7))	(-(/(*16)(+24))(/(/55)7))	(((16*)(24+)/)((55/)7/)-)
((3*(7+1))/(3-(5*6)))	(/(*3(+71))(-3(*56)))	((3(71+)*)(3(56*)-)/)
(((2*8)+8)*((7-1)/8))	(*(+(*28)8)(/(-71)8))	(((28*)8+)((71-)8/)*)
(((5/7)-(1-4))*((5-3)/(2*4)))	(*(-(/57)(-14))(/(-53)(*24)))	(((57/)(14-)-)((53-)(24*)/)*)
