(2/(5*(0*(6-6))))	(/2(*5(*0(-66))))	(2(5(0(66-)*)*)/)
((((6+3)/(6/2))+(8+4))-(((6/5)+8)*(0-(1+1))))	(-(+(/(+63)(/62))(+84))(*(+(/65)8)(-0(+11))))	((((63+)(62/)/)(84+)+)(((65/)8+)(0(11+)-)*)-)
((((5-9)/(0+3))+(9-7))/(((5/8)*3)+((5*6)-8)))	(/(+(/(-59)(+03))(-97))(+(*(/58)3)(-(*56)8)))	((((59-)(03+)/)(97-)+)(((58/)3*)((56*)8-)+)/)
((((7*7)-(0-4))*(6-9))*(((5-8)*6)-((3+9)+(7/4))))	(*(*(-(*77)(-04))(-69))(-(*(-58)6)(+(+39)(/74))))	((((77*)(04-)-)(69-)*)(((58-)6*)((39+)(74/)+)-)*)
((((3-1)-(2*7))/(1-3))*(((0-4)*(0-0))+5))	(*(/(-(-31)(*27))(-13))(+(*(-04)(-00))5))	((((31-)(27*)-)(13-)/)(((04-)(00-)*)5+)*)
((((3*2)-(2+2))/(3/0))/(((9*9)/(6+4))/(3/5)))	(/(/(-(*32)(+22))(/30))(/(/(*99)(+64))(/35)))	((((32*)(22+)-)(30/)/)(((99*)(64+)/)(35/)/)/)
((((2-4)*(0*4))*(5*7))-(((0+4)+(1*9))/(7*(2/8))))	(-(*(*(-24)(*04))(*57))(/(+(+04)(*19))(*7(/28))))	((((24-)(04*)*)(57*)*)(((04+)(19*)+)(7(28/)*)/)-)
((((5/7)-(3-9))-(5*1))*(((5*9)-(8*1))+((1/3)/0)))	(*(-(-(/57)(-39))(*51))(+(-(*59)(*81))(/(/13)0)))	((((57/)(39-)-)(51*)-)(((59*)(81*)-)((13/)0/)+)*)
((((7/9)/(4-2))-(7/4))/(((7+8)/(2-3))/((3*3)+(1-1))))	(/(-(/(/79)(-42))(/74))(/(/(+78)(-23))(+(*33)(-11))))	((((79/)(42-)/)(74/)-)(((78+)(23-)/)((33*)(11-)+)/)/)
((((0/9)-(9+0))/(5*(8+7)))-4)	(-(/(-(/09)(+90))(*5(+87)))4)	((((09/)(90+)-)(5(87+)*)/)4-)
((((3-4)*(7*3))-(0*(9-3)))-(0/0))	(-(-(*(-34)(*73))(*0(-93)))(/00))	((((34-)(73*)*)(0(93-)*)-)(00/)-)
((((9-1)-(8-5))-(9-(8+6)))-(8*(8*2)))	(-(-(-(-91)(-85))(-9(+86)))(*8(*82)))	((((91-)(85-)-)(9(86+)-)-)(8(82*)*)-)
((((7-7)-(1-3))*(2+(9+8)))*(5-(8+(9-9))))	(*(*(-(-77)(-13))(+2(+98)))(-5(+8(-99))))	((((77-)(13-)-)(2(98+)+)*)(5(8(99-)+)-)*)
((((7+5)/(6+9))*(0-(6+7)))-(1*((3/5)+6)))	(-(*(/(+75)(+69))(-0(+67)))(*1(+(/35)6)))	((((75+)(69+)/)(0(67+)-)*)(1((35/)6+)*)-)
((((6-0)-(8+2))-(1*(9+3)))+(8*((0*1)-(5-5))))	(+(-(-(-60)(+82))(*1(+93)))(*8(-(*01)(-55))))	((((60-)(82+)-)(1(93+)*)-)(8((01*)(55-)-)*)+)
((((7+1)*(0/6))*(9+(9+4)))-((5/0)+0))	(-(*(*(+71)(/06))(+9(+94)))(+(/50)0))	((((71+)(06/)*)(9(94+)+)*)((50/)0+)-)
((((6*3)-(5+1))*(0-(7+3)))*((2-7)+(6*3)))	(*(*(-(*63)(+51))(-0(+73)))(+(-27)(*63)))	((((63*)(51+)-)(0(73+)-)*)((27-)(63*)+)*)
((((8*7)-(1*7))/(9/(2+9)))+((7-4)-(9+(9-7))))	(+(/(-(*87)(*17))(/9(+29)))(-(-74)(+9(-97))))	((((87*)(17*)-)(9(29+)/)/)((74-)(9(97-)+)-)+)
((((7*5)-(3+8))*(6-(8/9)))*((2*1)-((8/4)*2)))	(*(*(-(*75)(+38))(-6(/89)))(-(*21)(*(/84)2)))	((((75*)(38+)-)(6(89/)-)*)((21*)((84/)2*)-)*)
((((7/6)-(9/2))-(9/(0*5)))-((0-6)/((0*5)*(7*8))))	(-(-(-(/76)(/92))(/9(*05)))(/(-06)(*(*05)(*78))))	((((76/)(92/)-)(9(05*)/)-)((06-)((05*)(78*)*)/)-)
((((7/0)*(2+3))*(8*(7+1)))/((7/(3-1))+4))	(/(*(*(/70)(+23))(*8(+71)))(+(/7(-31))4))	((((70/)(23+)*)(8(71+)*)*)((7(31-)/)4+)/)
((((1-9)+(7+0))/(7+(9/6)))*((8-(0*4))+(9*0)))	(*(/(+(-19)(+70))(+7(/96)))(+(-8(*04))(*90)))	((((19-)(70+)+)(7(96/)+)/)((8(04*)-)(90*)+)*)
((((4+2)/(3+1))-(2/(9/5)))+((8*(1-5))+(3*(7-0))))	(+(-(/(+42)(+31))(/2(/95)))(+(*8(-15))(*3(-70))))	((((42+)(31+)/)(2(95/)/)-)((8(15-)*)(3(70-)*)+)+)
((((0-0)/(8+3))-(1*(8/7)))*((2+(9/1))-((3/3)/6)))	(*(-(/(-00)(+83))(*1(/87)))(-(+2(/91))(/(/33)6)))	((((00-)(83+)/)(1(87/)*)-)((2(91/)+)((33/)6/)-)*)
((((1*3)+(3/5))-(3/(7*8)))*((3/(2+3))+((8*4)/(6/5))))	(*(-(+(*13)(/35))(/3(*78)))(+(/3(+23))(/(*84)(/65))))	((((13*)(35/)+)(3(78*)/)-)((3(23+)/)((84*)(65/)/)+)*)
((((8+5)/(8+8))-(3-(7+9)))*(((7/7)-0)/5))	(*(-(/(+85)(+88))(-3(+79)))(/(-(/77)0)5))	((((85+)(88+)/)(3(79+)-)-)(((77/)0-)5/)*)
((((7-6)+(3*7))/(5*(8-9)))*(((0-3)/0)*(5-2)))	(*(/(+(-76)(*37))(*5(-89)))(*(/(-03)0)(-52)))	((((76-)(37*)+)(5(89-)*)/)(((03-)0/)(52-)*)*)
((((5*8)*(3/3))+(2/(1+3)))-(((7/8)*7)*(7+(2/3))))	(-(+(*(*58)(/33))(/2(+13)))(*(*(/78)7)(+7(/23))))	((((58*)(33/)*)(2(13+)/)+)(((78/)7*)(7(23/)+)*)-)
((((4+9)+(4*7))/(7+(1/1)))/(((4/4)*8)-((9-2)-0)))	(/(/(+(+49)(*47))(+7(/11)))(-(*(/44)8)(-(-92)0)))	((((49+)(47*)+)(7(11/)+)/)(((44/)8*)((92-)0-)-)/)
((((5/7)/(7-2))*(0-(8/3)))/(((9/2)/4)/((9+1)/(4-1))))	(/(*(/(/57)(-72))(-0(/83)))(/(/(/92)4)(/(+91)(-41))))	((((57/)(72-)/)(0(83/)-)*)(((92/)4/)((91+)(41-)/)/)/)
((((4+7)/(0*8))-(1-(8*9)))/(((4*2)*(2-3))+1))	(/(-(/(+47)(*08))(-1(*89)))(+(*(*42)(-23))1))	((((47+)(08*)/)(1(89*)-)-)(((42*)(23-)*)1+)/)
((((6-5)-(2*4))*(0/(1-6)))-(((9/1)*(8-7))+(0/6)))	(-(*(-(-65)(*24))(/0(-16)))(+(*(/91)(-87))(/06)))	((((65-)(24*)-)(0(16-)/)*)(((91/)(87-)*)(06/)+)-)
((((0-3)-(7/6))/(9/(0*8)))*(((7-5)*(1+7))+(7-(9-4))))	(*(/(-(-03)(/76))(/9(*08)))(+(*(-75)(+17))(-7(-94))))	((((03-)(76/)-)(9(08*)/)/)(((75-)(17+)*)(7(94-)-)+)*)
((((6/5)/(8-5))-(2-(3+1)))*(((8-7)+(6-2))/((3/9)*8)))	(*(-(/(/65)(-85))(-2(+31)))(/(+(-87)(-62))(*(/39)8)))	((((65/)(85-)/)(2(31+)-)-)(((87-)(62-)+)((39/)8*)/)*)
((((1-2)+(0-0))-(9-(3*4)))-(((0/9)*(8*9))+((5/7)-(8*7))))	(-(-(+(-12)(-00))(-9(*34)))(+(*(/09)(*89))(-(/57)(*87))))	((((12-)(00-)+)(9(34*)-)-)(((09/)(89*)*)((57/)(87*)-)+)-)
((((4+8)/(3/9))-((0-2)-3))/1)	(/(-(/(+48)(/39))(-(-02)3))1)	((((48+)(39/)/)((02-)3-)-)1/)
((((1-6)/(2+0))-((0/3)*1))/(8+8))	(/(-(/(-16)(+20))(*(/03)1))(+88))	((((16-)(20+)/)((03/)1*)-)(88+)/)
((((9*4)+(9/0))+((5-6)*6))-(7+(3-5)))	(-(+(+(*94)(/90))(*(-56)6))(+7(-35)))	((((94*)(90/)+)((56-)6*)+)(7(35-)+)-)
((((1-7)/(1+0))+((5-4)*8))+(6/(8/(0/3))))	(+(+(/(-17)(+10))(*(-54)8))(/6(/8(/03))))	((((17-)(10+)/)((54-)8*)+)(6(8(03/)/)/)+)
((((9-1)+(0*5))/((6/1)+3))*(9+((7-7)-7)))	(*(/(+(-91)(*05))(+(/61)3))(+9(-(-77)7)))	((((91-)(05*)+)((61/)3+)/)(9((77-)7-)+)*)
((((0/1)-(4+7))-((4/3)/6))+(0/((8+1)+(0-2))))	(+(-(-(/01)(+47))(/(/43)6))(/0(+(+81)(-02))))	((((01/)(47+)-)((43/)6/)-)(0((81+)(02-)+)/)+)
((((1*9)+(7-5))+((4/4)/2))*((6-4)-8))	(*(+(+(*19)(-75))(/(/44)2))(-(-64)8))	((((19*)(75-)+)((44/)2/)+)((64-)8-)*)
((((0*9)*(3+0))+((8*6)-6))+((7/8)/(0/1)))	(+(+(*(*09)(+30))(-(*86)6))(/(/78)(/01)))	((((09*)(30+)*)((86*)6-)+)((78/)(01/)/)+)
((((2+6)*(3+5))*((2*9)/2))+((4+8)*(3-(3/1))))	(+(*(*(+26)(+35))(/(*29)2))(*(+48)(-3(/31))))	((((26+)(35+)*)((29*)2/)*)((48+)(3(31/)-)*)+)
((((1+6)/(4+3))-((7/4)+9))*((8*8)/((2+2)+2)))	(*(-(/(+16)(+43))(+(/74)9))(/(*88)(+(+22)2)))	((((16+)(43+)/)((74/)9+)-)((88*)((22+)2+)/)*)
((((2/5)/(7-0))/((8*7)-2))+((9+2)+((6+5)*(3-7))))	(+(/(/(/25)(-70))(-(*87)2))(+(+92)(*(+65)(-37))))	((((25/)(70-)/)((87*)2-)/)((92+)((65+)(37-)*)+)+)
((((2/5)*(6/1))*((5-1)+8))*((7-(0*7))*3))	(*(*(*(/25)(/61))(+(-51)8))(*(-7(*07))3))	((((25/)(61/)*)((51-)8+)*)((7(07*)-)3*)*)
((((3-4)+(5+0))*((8+4)+0))-((3/(7-5))/(4-4)))	(-(*(+(-34)(+50))(+(+84)0))(/(/3(-75))(-44)))	((((34-)(50+)+)((84+)0+)*)((3(75-)/)(44-)/)-)
((((6-1)*(2*9))+((0/4)*1))/((7/(3+2))-(3-(3-4))))	(/(+(*(-61)(*29))(*(/04)1))(-(/7(+32))(-3(-34))))	((((61-)(29*)*)((04/)1*)+)((7(32+)/)(3(34-)-)-)/)
((((8/2)/(0+6))+((7/7)/8))-((7*(4/3))/((2*4)+3)))	(-(+(/(/82)(+06))(/(/77)8))(/(*7(/43))(+(*24)3)))	((((82/)(06+)/)((77/)8/)+)((7(43/)*)((24*)3+)/)-)
((((3-8)*(3*5))*((7-9)+9))-((8-(4/1))-((0+1)/(2*3))))	(-(*(*(-38)(*35))(+(-79)9))(-(-8(/41))(/(+01)(*23))))	((((38-)(35*)*)((79-)9+)*)((8(41/)-)((01+)(23*)/)-)-)
((((6-2)+(5+5))/((0+2)+4))-(((5*7)/3)*7))	(-(/(+(-62)(+55))(+(+02)4))(*(/(*57)3)7))	((((62-)(55+)+)((02+)4+)/)(((57*)3/)7*)-)
((((7/0)*(9+3))*((0*3)-2))-(((0-7)-0)+(2*1)))	(-(*(*(/70)(+93))(-(*03)2))(+(-(-07)0)(*21)))	((((70/)(93+)*)((03*)2-)*)(((07-)0-)(21*)+)-)
((((2+6)-(1+3))+((2-5)/7))-(((4/3)/7)/(8+(4-3))))	(-(+(-(+26)(+13))(/(-25)7))(/(/(/43)7)(+8(-43))))	((((26+)(13+)-)((25-)7/)+)(((43/)7/)(8(43-)+)/)-)
((((9-2)*(1+3))/((6*4)/9))-(((8/7)+0)*((7-0)*5)))	(-(/(*(-92)(+13))(/(*64)9))(*(+(/87)0)(*(-70)5)))	((((92-)(13+)*)((64*)9/)/)(((87/)0+)((70-)5*)*)-)
((((2+4)+(4-2))*((0/0)-7))/(((8*7)+5)+((2+7)+(1/6))))	(/(*(+(+24)(-42))(-(/00)7))(+(+(*87)5)(+(+27)(/16))))	((((24+)(42-)+)((00/)7-)*)(((87*)5+)((27+)(16/)+)+)/)
((((2-5)*(2*7))+((5+3)-3))/(((5*6)+(8*8))*4))	(/(+(*(-25)(*27))(-(+53)3))(*(+(*56)(*88))4))	((((25-)(27*)*)((53+)3-)+)(((56*)(88*)+)4*)/)
((((4/5)*(2-3))/((5+5)/3))-(((4+8)*(5-4))+(1+7)))	(-(/(*(/45)(-23))(/(+55)3))(+(*(+48)(-54))(+17)))	((((45/)(23-)*)((55+)3/)/)(((48+)(54-)*)(17+)+)-)
((((1*1)-(9-2))+((4-7)+0))/(((0*4)-(3+4))-(0*(8/8))))	(/(+(-(*11)(-92))(+(-47)0))(-(-(*04)(+34))(*0(/88))))	((((11*)(92-)-)((47-)0+)+)(((04*)(34+)-)(0(88/)*)-)/)
((((8+0)*(5-6))-((3-3)-2))/(((1/2)-(9+6))+((8/4)-7)))	(/(-(*(+80)(-56))(-(-33)2))(+(-(/12)(+96))(-(/84)7)))	((((80+)(56-)*)((33-)2-)-)(((12/)(96+)-)((84/)7-)+)/)
((((8*6)*(4-3))+((5*3)/1))/(((6-8)-(0-7))-((2*4)+(8*0))))	(/(+(*(*86)(-43))(/(*53)1))(-(-(-68)(-07))(+(*24)(*80))))	((((86*)(43-)*)((53*)1/)+)(((68-)(07-)-)((24*)(80*)+)-)/)
((((8/7)*(7/2))+((6/9)+(5/6)))*3)	(*(+(*(/87)(/72))(+(/69)(/56)))3)	((((87/)(72/)*)((69/)(56/)+)+)3*)
((((8-3)/(4/0))/((4-8)+(4+9)))+(7-8))	(+(/(/(-83)(/40))(+(-48)(+49)))(-78))	((((83-)(40/)/)((48-)(49+)+)/)(78-)+)
((((0/5)/(1/3))+((1/4)/(8-4)))+(0+(5/9)))	(+(+(/(/05)(/13))(/(/14)(-84)))(+0(/59)))	((((05/)(13/)/)((14/)(84-)/)+)(0(59/)+)+)
((((3+5)+(3*8))-((6-9)+(7+1)))+(4-(8/(4+4))))	(+(-(+(+35)(*38))(+(-69)(+71)))(-4(/8(+44))))	((((35+)(38*)+)((69-)(71+)+)-)(4(8(44+)/)-)+)
((((8/9)*(9*6))-((4*4)+(4+7)))+(5+((9-5)/1)))	(+(-(*(/89)(*96))(+(*44)(+47)))(+5(/(-95)1)))	((((89/)(96*)*)((44*)(47+)+)-)(5((95-)1/)+)+)
((((2/2)+(7/8))+((3+0)*(1+8)))+(7+((3*8)-(1/2))))	(+(+(+(/22)(/78))(*(+30)(+18)))(+7(-(*38)(/12))))	((((22/)(78/)+)((30+)(18+)*)+)(7((38*)(12/)-)+)+)
((((6+4)+(4*2))-((4/4)*(9+5)))-((8+5)+4))	(-(-(+(+64)(*42))(*(/44)(+95)))(+(+85)4))	((((64+)(42*)+)((44/)(95+)*)-)((85+)4+)-)
((((5*7)+(6*5))/((3/4)*(0*6)))+((9/2)+(0-5)))	(+(/(+(*57)(*65))(*(/34)(*06)))(+(/92)(-05)))	((((57*)(65*)+)((34/)(06*)*)/)((92/)(05-)+)+)
((((2*5)-(9+6))*((7+4)/(4*1)))/((4-0)/(5*(8/5))))	(/(*(-(*25)(+96))(/(+74)(*41)))(/(-40)(*5(/85))))	((((25*)(96+)-)((74+)(41*)/)*)((40-)(5(85/)*)/)/)
((((2/2)*(7+8))*((0+8)-(3-1)))/((4-7)*((1+2)/3)))	(/(*(*(/22)(+78))(-(+08)(-31)))(*(-47)(/(+12)3)))	((((22/)(78+)*)((08+)(31-)-)*)((47-)((12+)3/)*)/)
((((5-2)*(7-9))*((9-0)*(8/9)))-((4*6)+((0+0)/(7*4))))	(-(*(*(-52)(-79))(*(-90)(/89)))(+(*46)(/(+00)(*74))))	((((52-)(79-)*)((90-)(89/)*)*)((46*)((00+)(74*)/)+)-)
((((0-8)+(5+1))*((4-2)+(4-2)))*((1-(8-1))+2))	(*(*(+(-08)(+51))(+(-42)(-42)))(+(-1(-81))2))	((((08-)(51+)+)((42-)(42-)+)*)((1(81-)-)2+)*)
((((4/3)*(4+2))-((7-0)*(6-9)))-((0-(6-1))-(6-6)))	(-(-(*(/43)(+42))(*(-70)(-69)))(-(-0(-61))(-66)))	((((43/)(42+)*)((70-)(69-)*)-)((0(61-)-)(66-)-)-)
((((0+5)-(2*7))/((2-3)/(7+4)))-((1+(9+5))*(2/(1+0))))	(-(/(-(+05)(*27))(/(-23)(+74)))(*(+1(+95))(/2(+10))))	((((05+)(27*)-)((23-)(74+)/)/)((1(95+)+)(2(10+)/)*)-)
((((2*5)/(5-5))-((8/4)+(7-3)))/((9*(6-5))-((6*2)/9)))	(/(-(/(*25)(-55))(+(/84)(-73)))(-(*9(-65))(/(*62)9)))	((((25*)(55-)/)((84/)(73-)+)-)((9(65-)*)((62*)9/)-)/)
((((5/0)-(5/2))*((9/4)+(1/3)))-((0/(7/2))*((2-5)+(0/9))))	(-(*(-(/50)(/52))(+(/94)(/13)))(*(/0(/72))(+(-25)(/09))))	((((50/)(52/)-)((94/)(13/)+)*)((0(72/)/)((25-)(09/)+)*)-)
((((1*0)+(0+2))+((9/4)*(2-0)))/(((1*2)+7)+3))	(/(+(+(*10)(+02))(*(/94)(-20)))(+(+(*12)7)3))	((((10*)(02+)+)((94/)(20-)*)+)(((12*)7+)3+)/)
((((1*5)*(4+1))+((9+5)-(1/2)))*(((6+3)+9)+(3*7)))	(*(+(*(*15)(+41))(-(+95)(/12)))(+(+(+63)9)(*37)))	((((15*)(41+)*)((95+)(12/)-)+)(((63+)9+)(37*)+)*)
((((4/9)+(9+8))-((2*2)+(3+6)))-(((9*1)+5)-(3-(4/2))))	(-(-(+(/49)(+98))(+(*22)(+36)))(-(+(*91)5)(-3(/42))))	((((49/)(98+)+)((22*)(36+)+)-)(((91*)5+)(3(42/)-)-)-)
((((0+0)/(2*6))-((2/8)+(5/0)))*(((7-6)/7)*((7-1)-6)))	(*(-(/(+00)(*26))(+(/28)(/50)))(*(/(-76)7)(-(-71)6)))	((((00+)(26*)/)((28/)(50/)+)-)(((76-)7/)((71-)6-)*)*)
((((6/4)*(0/9))*((1-8)+(3*1)))+(((9+4)*2)/((7*5)*(8+2))))	(+(*(*(/64)(/09))(+(-18)(*31)))(/(*(+94)2)(*(*75)(+82))))	((((64/)(09/)*)((18-)(31*)+)*)(((94+)2*)((75*)(82+)*)/)+)
((((0*9)/(9/0))/((3+1)*(4*4)))/(((2+3)*(4+1))/0))	(/(/(/(*09)(/90))(*(+31)(*44)))(/(*(+23)(+41))0))	((((09*)(90/)/)((31+)(44*)*)/)(((23+)(41+)*)0/)/)
((((6*3)/(8/2))-((8-0)*(0+8)))*(((9*0)/(2-3))+(7-9)))	(*(-(/(*63)(/82))(*(-80)(+08)))(+(/(*90)(-23))(-79)))	((((63*)(82/)/)((80-)(08+)*)-)(((90*)(23-)/)(79-)+)*)
((((5*4)/(4-4))*((8/6)/(1+3)))-(((6*9)+(0/3))*(2-(6+8))))	(-(*(/(*54)(-44))(/(/86)(+13)))(*(+(*69)(/03))(-2(+68))))	((((54*)(44-)/)((86/)(13+)/)*)(((69*)(03/)+)(2(68+)-)*)-)
((((3/6)-(3+3))-((3*1)+(1*7)))+(((9-0)*(6-3))/((8/7)*1)))	(+(-(-(/36)(+33))(+(*31)(*17)))(/(*(-90)(-63))(*(/87)1)))	((((36/)(33+)-)((31*)(17*)+)-)(((90-)(63-)*)((87/)1*)/)+)
((((9/0)-(8-7))*((9-4)-(5/6)))-(((9/8)-(6-2))+((9*4)+(9+7))))	(-(*(-(/90)(-87))(-(-94)(/56)))(+(-(/98)(-62))(+(*94)(+97))))	((((90/)(87-)-)((94-)(56/)-)*)(((98/)(62-)-)((94*)(97+)+)+)-)
(9+(1-(2*(4*4))))	(+9(-1(*2(*44))))	(9(1(2(44*)*)-)+)
(7+(4*((4-7)*6)))	(+7(*4(*(-47)6)))	(7(4((47-)6*)*)+)
(1+(5+((5-8)/(9/5))))	(+1(+5(/(-58)(/95))))	(1(5((58-)(95/)/)+)+)
(7*((1*3)/(3/(4*3))))	(*7(/(*13)(/3(*43))))	(7((13*)(3(43*)/)/)*)
(5+((6+9)-((8+3)+0)))	(+5(-(+69)(+(+83)0)))	(5((69+)((83+)0+)-)+)
(7/((2+0)+((3-4)-(4*3))))	(/7(+(+20)(-(-34)(*43))))	(7((20+)((34-)(43*)-)+)/)
(7*((5+(3+2))*5))	(*7(*(+5(+32))5))	(7((5(32+)+)5*)*)
(9/((6*(6+8))*(8-4)))	(/9(*(*6(+68))(-84)))	(9((6(68+)*)(84-)*)/)
(2-((8-(0/5))/(7/(0*7))))	(-2(/(-8(/05))(/7(*07))))	(2((8(05/)-)(7(07*)/)/)-)
(9+((8*(0-4))+((5*4)/2)))	(+9(+(*8(-04))(/(*54)2)))	(9((8(04-)*)((54*)2/)+)+)
(1+((2*(7/3))+((1+5)-(0+5))))	(+1(+(*2(/73))(-(+15)(+05))))	(1((2(73/)*)((15+)(05+)-)+)+)
(6-(((2-5)-2)/6))	(-6(/(-(-25)2)6))	(6(((25-)2-)6/)-)
(3+(((7/3)+7)*(3+9)))	(+3(*(+(/73)7)(+39)))	(3(((73/)7+)(39+)*)+)
(5-(((5*9)*1)+(2-(9-5))))	(-5(+(*(*59)1)(-2(-95))))	(5(((59*)1*)(2(95-)-)+)-)
(0/(((3+1)+8)/((0+4)/3)))	(/0(/(+(+31)8)(/(+04)3)))	(0(((31+)8+)((04+)3/)/)/)
(1*(((0-1)/6)*((5+9)-(5*6))))	(*1(*(/(-01)6)(-(+59)(*56))))	(1(((01-)6/)((59+)(56*)-)*)*)
(7+(((5/2)-(7*3))-7))	(+7(-(-(/52)(*73))7))	(7(((52/)(73*)-)7-)+)
(4/(((7+0)-(5+6))+(3+8)))	(/4(+(-(+70)(+56))(+38)))	(4(((70+)(56+)-)(38+)+)/)
(5-(((7+3)/(9-0))-(9*(2-1))))	(-5(-(/(+73)(-90))(*9(-21))))	(5(((73+)(90-)/)(9(21-)*)-)-)
(7*(((0*5)+(0/9))+((5/2)-6)))	(*7(+(+(*05)(/09))(-(/52)6)))	(7(((05*)(09/)+)((52/)6-)+)*)
(3*(((4/1)+(5/9))/((7-4)+(5-6))))	(*3(/(+(/41)(/59))(+(-74)(-56))))	(3(((41/)(59/)+)((74-)(56-)+)/)*)
((9*5)*(0-(6/(5+8))))	(*(*95)(-0(/6(+58))))	((95*)(0(6(58+)/)-)*)
((2*7)+(4+((0-1)*7)))	(+(*27)(+4(*(-01)7)))	((27*)(4((01-)7*)+)+)
((1-8)+(5*((7+0)-(6/4))))	(+(-18)(*5(-(+70)(/64))))	((18-)(5((70+)(64/)-)*)+)
((2+4)/((2/7)-(5+(1*3))))	(/(+24)(-(/27)(+5(*13))))	((24+)((27/)(5(13*)+)-)/)
((7+2)*((6*1)/((4-0)+9)))	(*(+72)(/(*61)(+(-40)9)))	((72+)((61*)((40-)9+)/)*)
((0-2)*((4-5)+((1*0)-(2+2))))	(*(-02)(+(-45)(-(*10)(+22))))	((02-)((45-)((10*)(22+)-)+)*)
((6-7)/((4/(1-1))+7))	(/(-67)(+(/4(-11))7))	((67-)((4(11-)/)7+)/)
((3/1)+((5/(2-0))*(5+9)))	(+(/31)(*(/5(-20))(+59)))	((31/)((5(20-)/)(59+)*)+)
((5*7)*((6/(0-6))-(4*(3/6))))	(*(*57)(-(/6(-06))(*4(/36))))	((57*)((6(06-)/)(4(36/)*)-)*)
((6*2)-((3*(4-1))/((4/6)-1)))	(-(*62)(/(*3(-41))(-(/46)1)))	((62*)((3(41-)*)((46/)1-)/)-)
((0/3)*((9-(8-7))/((4-0)+(1*5))))	(*(/03)(/(-9(-87))(+(-40)(*15))))	((03/)((9(87-)-)((40-)(15*)+)/)*)
((0/7)*(((9-4)-3)/2))	(*(/07)(/(-(-94)3)2))	((07/)(((94-)3-)2/)*)
((4/3)/(((7-4)/5)-(6/3)))	(/(/43)(-(/(-74)5)(/63)))	((43/)(((74-)5/)(63/)-)/)
((3/6)*(((6-4)-0)*(9-(2*5))))	(*(/36)(*(-(-64)0)(-9(*25))))	((36/)(((64-)0-)(9(25*)-)*)*)
((9/5)*(((1*1)*6)/((4+9)+4)))	(*(/95)(/(*(*11)6)(+(+49)4)))	((95/)(((11*)6*)((49+)4+)/)*)
((9/6)+(((8-5)+9)/((5*1)-(3*7))))	(+(/96)(/(+(-85)9)(-(*51)(*37))))	((96/)(((85-)9+)((51*)(37*)-)/)+)
((5-8)/(((1-6)*(4-3))*8))	(/(-58)(*(*(-16)(-43))8))	((58-)(((16-)(43-)*)8*)/)
((6/3)*(((3/5)*(6*5))-(8/2)))	(*(/63)(-(*(/35)(*65))(/82)))	((63/)(((35/)(65*)*)(82/)-)*)
((9*8)/(((3/6)/(1-8))-(6*(2+7))))	(/(*98)(-(/(/36)(-18))(*6(+27))))	((98*)(((36/)(18-)/)(6(27+)*)-)/)
((5+3)-(((3+1)*(1+5))-((2/8)+0)))	(-(+53)(-(*(+31)(+15))(+(/28)0)))	((53+)(((31+)(15+)*)((28/)0+)-)-)
((4+1)+(((4-1)*(7+6))+((3*8)/(1-1))))	(+(+41)(+(*(-41)(+76))(/(*38)(-11))))	((41+)(((41-)(76+)*)((38*)(11-)/)+)+)
((1+(0/5))-(8-(3-(5-1))))	(-(+1(/05))(-8(-3(-51))))	((1(05/)+)(8(3(51-)-)-)-)
((6+(9+4))*(2-((7-6)/9)))	(*(+6(+94))(-2(/(-76)9)))	((6(94+)+)(2((76-)9/)-)*)
((1-(7/1))/(6*((3+5)-(6-1))))	(/(-1(/71))(*6(-(+35)(-61))))	((1(71/)-)(6((35+)(61-)-)*)/)
((7*(7+5))+((6+3)/(7*(9+4))))	(+(*7(+75))(/(+63)(*7(+94))))	((7(75+)*)((63+)(7(94+)*)/)+)
((1*(4+8))-((1+8)*((6*8)-9)))	(-(*1(+48))(*(+18)(-(*68)9)))	((1(48+)*)((18+)((68*)9-)*)-)
((1-(2/1))*((4/0)+((8*3)/(7/3))))	(*(-1(/21))(+(/40)(/(*83)(/73))))	((1(21/)-)((40/)((83*)(73/)/)+)*)
((7*(5*2))+((2/(1*8))+7))	(+(*7(*52))(+(/2(*18))7))	((7(52*)*)((2(18*)/)7+)+)
((7/(1*1))+((7*(7+1))-(2+5)))	(+(/7(*11))(-(*7(+71))(+25)))	((7(11*)/)((7(71+)*)(25+)-)+)
((5-(9+9))*((9-(4*0))+(4+(2/4))))	(*(-5(+99))(+(-9(*40))(+4(/24))))	((5(99+)-)((9(40*)-)(4(24/)+)+)*)
((9*(6+0))*((4+(3-5))+((7*5)-7)))	(*(*9(+60))(+(+4(-35))(-(*75)7)))	((9(60+)*)((4(35-)+)((75*)7-)+)*)
((9*(3/9))+((0-(4-3))+((7/7)-(7+7))))	(+(*9(/39))(+(-0(-43))(-(/77)(+77))))	((9(39/)*)((0(43-)-)((77/)(77+)-)+)+)
((8+(5+9))-(((2+2)-5)-6))	(-(+8(+59))(-(-(+22)5)6))	((8(59+)+)(((22+)5-)6-)-)
((7+(1-0))*(((1/1)+1)*(4/9)))	(*(+7(-10))(*(+(/11)1)(/49)))	((7(10-)+)(((11/)1+)(49/)*)*)
((1*(2/4))*(((6*5)-4)/(1/(2-6))))	(*(*1(/24))(/(-(*65)4)(/1(-26))))	((1(24/)*)(((65*)4-)(1(26-)/)/)*)
